"sentiment","range","airline","timezone"
"positive","E","United","Pacific Time (US & Canada)"
"positive","E","United","Pacific Time (US & Canada)"
"negative","E","United","Mountain Time (US & Canada)"
"positive","D","United","Arizona"
"negative","B","United","Eastern Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"negative","B","United","Eastern Time (US & Canada)"
"negative","B","United","Amsterdam"
"positive","D","United","Eastern Time (US & Canada)"
"negative","B","United","Eastern Time (US & Canada)"
"positive","D","United","Pacific Time (US & Canada)"
"positive","E","United","Quito"
"negative","B","United","Mountain Time (US & Canada)"
"negative","B","United","Eastern Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"negative","B","United","Central Time (US & Canada)"
"negative","B","United","Eastern Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Quito"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","E","United","Pacific Time (US & Canada)"
"negative","B","United","Eastern Time (US & Canada)"
"positive","D","United","Central Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Central Time (US & Canada)"
"neutral","C","United","Eastern Time (US & Canada)"
"positive","D","United","Mountain Time (US & Canada)"
"negative","B","United","Eastern Time (US & Canada)"
"positive","D","United","Pacific Time (US & Canada)"
"positive","D","United","Brussels"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Amsterdam"
"negative","A","United","Eastern Time (US & Canada)"
"positive","E","United","Mountain Time (US & Canada)"
"positive","D","United","Atlantic Time (Canada)"
"positive","E","United","Central Time (US & Canada)"
"negative","B","United","Pacific Time (US & Canada)"
"positive","D","United","Pacific Time (US & Canada)"
"negative","B","United","Eastern Time (US & Canada)"
"positive","E","United","Pacific Time (US & Canada)"
"positive","E","United","Eastern Time (US & Canada)"
"positive","E","United","Amsterdam"
"negative","B","United","Eastern Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","London"
"positive","D","United","Central Time (US & Canada)"
"negative","B","United","Central Time (US & Canada)"
"positive","D","United","London"
"positive","E","United","Pacific Time (US & Canada)"
"negative","B","United","Central Time (US & Canada)"
"positive","E","United","Eastern Time (US & Canada)"
"negative","B","United","Alaska"
"positive","D","United","Alaska"
"positive","D","United","Pacific Time (US & Canada)"
"negative","B","United","Eastern Time (US & Canada)"
"negative","B","United","Eastern Time (US & Canada)"
"negative","A","United","Pacific Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Arizona"
"positive","D","United","Amsterdam"
"negative","B","United","Pacific Time (US & Canada)"
"positive","D","United","Pacific Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Central Time (US & Canada)"
"positive","D","United","Pacific Time (US & Canada)"
"positive","D","United","Central Time (US & Canada)"
"neutral","C","United","Central Time (US & Canada)"
"positive","E","United","Eastern Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","E","United","Pacific Time (US & Canada)"
"positive","D","United","Central Time (US & Canada)"
"positive","E","United","Amsterdam"
"negative","A","United","Eastern Time (US & Canada)"
"positive","E","United","Central Time (US & Canada)"
"positive","D","United","Pacific Time (US & Canada)"
"positive","D","United","Central Time (US & Canada)"
"negative","B","United","Eastern Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"negative","B","United","Central Time (US & Canada)"
"positive","D","United","Pacific Time (US & Canada)"
"negative","B","United","Pacific Time (US & Canada)"
"negative","B","United","Pacific Time (US & Canada)"
"positive","E","United","Pacific Time (US & Canada)"
"positive","D","United","Pacific Time (US & Canada)"
"positive","D","United","Pacific Time (US & Canada)"
"positive","D","United","Central Time (US & Canada)"
"negative","B","United","Pacific Time (US & Canada)"
"positive","D","United","Pacific Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Pacific Time (US & Canada)"
"negative","B","United","Pacific Time (US & Canada)"
"negative","B","United","Pacific Time (US & Canada)"
"negative","B","United","Eastern Time (US & Canada)"
"positive","D","United","Quito"
"negative","A","United","Quito"
"positive","D","United","Quito"
"positive","D","United","Quito"
"positive","D","United","Quito"
"negative","B","United","Pacific Time (US & Canada)"
"positive","E","United","London"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"negative","B","United","Central Time (US & Canada)"
"negative","B","United","Central Time (US & Canada)"
"negative","B","United","Taipei"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Taipei"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Taipei"
"positive","D","United","Pacific Time (US & Canada)"
"positive","D","United","Taipei"
"negative","B","United","Taipei"
"positive","D","United","Taipei"
"positive","E","United","Quito"
"positive","D","United","Quito"
"negative","B","United","Central Time (US & Canada)"
"positive","D","United","Central Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Pacific Time (US & Canada)"
"positive","D","United","Central Time (US & Canada)"
"positive","E","United","Central Time (US & Canada)"
"positive","D","United","Santiago"
"positive","D","United","Eastern Time (US & Canada)"
"negative","B","United","Atlantic Time (Canada)"
"negative","B","United","Atlantic Time (Canada)"
"positive","D","United","Central Time (US & Canada)"
"negative","B","United","Atlantic Time (Canada)"
"negative","B","United","Central Time (US & Canada)"
"negative","B","United","America/Chicago"
"positive","D","United","America/Chicago"
"positive","D","United","Santiago"
"negative","B","United","Central Time (US & Canada)"
"neutral","C","United","Pacific Time (US & Canada)"
"positive","E","United","Central Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","E","United","Eastern Time (US & Canada)"
"positive","E","United","Hawaii"
"negative","B","United","Pacific Time (US & Canada)"
"positive","D","United","Central Time (US & Canada)"
"negative","A","United","Eastern Time (US & Canada)"
"positive","D","United","Pacific Time (US & Canada)"
"negative","B","United","Central Time (US & Canada)"
"positive","E","United","Eastern Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"negative","B","United","Central Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"negative","B","United","Eastern Time (US & Canada)"
"negative","B","United","Hawaii"
"negative","B","United","Pacific Time (US & Canada)"
"positive","D","United","Central Time (US & Canada)"
"positive","D","United","Central Time (US & Canada)"
"positive","D","United","Central Time (US & Canada)"
"positive","E","United","Eastern Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Abu Dhabi"
"negative","B","United","Hawaii"
"positive","D","United","Caracas"
"negative","B","United","Pacific Time (US & Canada)"
"neutral","C","United","Abu Dhabi"
"positive","D","United","Abu Dhabi"
"positive","D","United","Arizona"
"negative","B","United","Eastern Time (US & Canada)"
"neutral","C","United","Eastern Time (US & Canada)"
"positive","D","United","Mountain Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Central Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"negative","B","United","Central Time (US & Canada)"
"positive","D","United","Arizona"
"neutral","C","United","Alaska"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Alaska"
"positive","D","United","Alaska"
"negative","B","United","Pacific Time (US & Canada)"
"positive","D","United","Pacific Time (US & Canada)"
"positive","E","United","Arizona"
"negative","B","United","Eastern Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Pacific Time (US & Canada)"
"negative","B","United","Eastern Time (US & Canada)"
"positive","D","United","Arizona"
"negative","B","United","Arizona"
"negative","B","United","Central Time (US & Canada)"
"positive","D","United","Hawaii"
"positive","D","United","Mountain Time (US & Canada)"
"negative","B","United","Alaska"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Mountain Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Mountain Time (US & Canada)"
"positive","D","United","Mountain Time (US & Canada)"
"positive","D","United","Central Time (US & Canada)"
"negative","B","United","Pacific Time (US & Canada)"
"positive","E","United","Sydney"
"positive","E","United","Arizona"
"positive","D","United","Alaska"
"positive","E","United","Eastern Time (US & Canada)"
"positive","D","United","Mountain Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
