"Response","tweets"
"positive","wireless phone charger   a new way to charge your phone    fast charging and    original   50  off for few days   g  https   t co tng2wqi0pv"
"positive","more coming soon        black butterfly collection 18   model   lay lay1995  designer  jas thomas photography  jas  https   t co sxoxofuv1j"
"positive","let your mind wonder then go back inside and beat that boss you can do it   gamers  gaming  gamergirl  game  https   t co adafuvcafi"
"negative","one of the worst features of  iphone is the automatic wifi bluetooth which has to be switched off from settings  no  https   t co hnapeir1v5"
"neutral"," charger  car  mobile  tablet  quickcharge  speedcharge  recharge  carcharger  highspeed  today  drive  tablet  https   t co rvbqxz06oa"
"positive","rt  thinktolead   i m convinced that the only thing that kept me going was that i loved what i did  you ve got to find what you love   stev "
"positive","isn t it cool     laptops  ongadgetshop  hack  screen  iphone https   t co jtx9zc73zy"
"positive","wizard vs zombie   match 3   free     iphone  ipad version available now to play for   free   in all app stores itu  https   t co ge8xxa9jo3"
"positive","apple s china problem solved   name the next iphone  11  the iphone xi after china s leader xi jinping and china wi  https   t co ad54plbarm"
"negative","according to this  engadget piece  amazon s earbuds are a shot at google  not apple  here s why   https   t co m0cxauwftb"
"neutral","friends forever   shotoniphone  shotoniphonexsmax  shotoniphone6s  apple  iphone   pic  picoftheday  photography  https   t co gubclcd56x"
"neutral","nowplaying   romo   the last slice of pizza  https   t co 6xyfg30t2w   iphone app https   t co csmu9zw1an   peripouwebradio"
"positive","rt  datarecoverysg  hard disk data recovery singapore is the perfect place for you to find reliable data recovery service for hard disk  th "
"positive","tech armor  iphone xs max screen protection  amp  accessories click and buy here  https   t co a1dkdo4gpp    iphone scr  https   t co xbrfm0tfic"
"positive","tweak   gravity    funny gravity effect to home screen icons    condition     100  work  repo     https   t co lzeywfpeav"
"positive","free iphone mockups made by  extravaganso   mockup  iphone  iphonemockup https   t co ab2ipubbq0"
"positive","about two years ago or something  in a hotel downtown houston  this was just a cool place to take a photo  apple  https   t co 8sdv7tmwvm"
"positive","how to reset your airpods  https   t co adzofj0xth  airpods  airpods2  airpods2  airpods2  airpods  iphone  apple  technology"
"neutral","rt  ar72014  all  iphone  wallpapers pack by  ar72014  part  3   15  https   t co yhpxozljao  16  https   t co yyrrftsy8y  17  https   t co "
"positive","quan yin says   this is a selfie of you and me together as one    art  painting  true  universal  precious  https   t co d5cxzk9szo"
"neutral","extruded flag of sweden https   t co txcv6jkdxo via  redbubble  sweden  swedish  flags  smartphone  iphone"
"positive","rt  dailyfinds4u  apple  iphone 6s 64gb unlocked  smartphone  gsm only  at amp t t mobile   rose gold  certified  refurbished   https   t co iw "
"negative","rt  ctr4neurotech  cnt industry director  amp   uw prof   scott ransom  appeared on  newdaynw with  uw bioengineering major  rachael tessem  to "
"positive","price drop   tennispoint  on sale for  iphone  ipad  0 99  gt  gt  free https   t co uva2jgoptp https   t co sdhcsgwo2c"
"neutral","rt  stewartriddick  table for three   iphonography  iphone  london  coventgarden  diners  dog  dogsofinstagram  https   t co frmp4crwvg"
"positive","the final japan photo        redpumpkin  yayoikusama  naoshima  japan  travel  seetheworld  art  contemporaryart  https   t co hrjbpkb409"
"positive","price drop   santa naughty or nice sca  on sale for  iphone  ipad  0 99  gt  gt  free https   t co q0cakpvucv https   t co uouvjyaiel"
"positive","al  durbal     phone rockstar zil sesi   remix trap  https   t co qr2datw9oa   remixtrap  trapremix  iphone tags  i  https   t co q6dsjdwcsw"
"positive","trim your video down to the very best moment  learn to easily edit out what doesn t help tell the story  how to tri  https   t co uobvdocnm0"
"neutral"," wallpapers  iphone    lockscreen and  homescreen   wallpaper today on  iphonexs https   t co n7vumqj8xx"
"negative","rt  colortwingame  check out this addictive  amp  challenging game  color twin  for ios  iphone  ipad  games  gamedev  indiegame   download   h "
"positive"," iphone  app  lottory  money i analized the past megamillions numbers  i found rule of the figures  check on iphone  https   t co zesht3rvtx"
"negative","facebook game ranking no 3 farm heros saga https   t co zksq2udtc5 https   t co oeebzlrbjb  jamjamtv  game  https   t co of6ljeajjw"
"positive","rt  ios appsales  rt  which is the better camera   photography  cameras  iphone  iphoneography  pinhole https   t co h0jhp48eei via  joelhe "
"positive","check out tweet garage  a handy app that tweets for you while you sleep or do something else  save up to 25 tweets   https   t co 4owta7legj"
"positive"," bible verse found with uplifting psalms daily by  roboticode for  android  iphone  kindle   dailyinspiration https   t co mn0i9tpc3e"
"positive"," sonossupport just wondering if it s worth the buy  my bose sound bar got busted after 2 years  is fully compatible  https   t co bcln2h8z1x"
"positive"," bible verse found with wise proverbs daily by  roboticode for  android  iphone  kindle   dailyinspiration https   t co kh1ntzyo1k"
"negative","download santa in zombie land from  appstore and share your comments on this  zombie killing  iphone  game  us https   t co dvnyrh28vn"
"positive","personally  many people are switching from  android to  iphone  that is a wise decision  the  iphone is the best  i  https   t co l0seki6lmh"
"positive","hieronymus  bosch  hieronymusbosch painting art famous painter  iphone  case https   t co ntktnzv0ko https   t co ntktnzv0ko"
"positive","stand firm      baloapier  orangecounty  westcoast  pacificocean  socal  photography  sunset  godisgood  iphone  https   t co r73v4tuzry"
"positive","  black butterfly collection 18   model  shalae designer  jas thomas photography  jas thomas        fashion  https   t co d9cx1un7zq"
"positive","want to dress up your device  we offer the latest in trendy and protective cases    williamsburg  https   t co locl2fb7v7"
"negative","cockatiels in forget me nots  iphone case https   t co rpl2pxyutv via  thecatinblack  tech  phone https   t co ozkzze6c5e"
"positive","genuine leather cases for a simple but chic look   personalization welcome  top quality personalization for your ta  https   t co xroof3njao"
"positive","the avanco hear   affordable bluetooth 5 0 hearing aid earbuds   google  earbuds  android  news  hearingloss  https   t co 7gebomhi0x"
"positive","new arrivals    samsung ear buds  n59 000 same day delivery anywhere around lagos  delivery is not free payment val  https   t co hjkuy9o6ya"
"positive","how to create  read  and mark up  pdfs on an  ipad or  iphone with  apple s tools in  ios https   t co ubsvbq9rnn"
"positive","  hasnainsayss omg looking more beautiful  iphone       "
"positive"," freelance  freelancing  freelancer  technology  news  information  computer  cyber  world  internet  iphone  https   t co mlsv8de3xm"
"positive","linktouch browser https   t co leyhavi9sd  iphone ipad browser  please try using it as it becomes a little more con  https   t co omo85jxyy5"
"positive","hey like this tweet if you wanna play imessage games     iphone  imessage"
"neutral","last night at the fry street tavern    frysttavern   fridaynight  weekend  drink  party  beer  beverage  app  https   t co 4owocsumhu"
"negative","look into my eyes  its where demons hide                   triptobanaras  hanumandhara  bw  bnw  retro  rayben  https   t co euwxp7siiv"
"positive","rt  ar72014   rt  wallpapers  iphone  iphonexsmax  iphonexs  iphonex  iphonexr   10 new exclusive  wallpaper for     iphone xs max    iphon "
"neutral","central world   bangkok  thailand  centralworld  netflix  city  iphone  skybridge https   t co fadgufihzm"
"positive","rt  jurassicapps  zombie fortress evolution   brand new out now  download and play for iphone ipad now and play for free    copy quick link "
"negative","guess what am i   riddles trivia quiz   wordguessing for  iphone  amp   ipad  itunes  appstore https   t co 4kidfellzo  https   t co lfquu8arkx"
"positive","15 tips to increase  battery life up to 30 percent more on  iphone https   t co z4mmozoyyi"
"negative","killer underwater photos could be iphone s next big camera upgrade   cult of mac https   t co ltoknnks27  iphone https   t co lgjj1ca58u"
"positive","rt  ar72014   rt  iphone  wallpapers  iphonexsmax  iphonexs  iphonexr  wallpaper  ios  homescreen  background  backgrounds   good sunday to "
"positive"," samsungmobileus ah  yes an extra expensive battery pack for my iphone  just what i needed   iphone  apple"
"neutral","price drop   domino for iphone  on sale for  iphone  ipad  1 99  gt  gt   0 99 https   t co dk3r8dngfd https   t co czy7vlbi2a"
"positive","save over  100 on the iphone xr  64gb  unlocked to any network  and a 12 month warranty on all our pre owned items   https   t co q9frnnvhvf"
"positive","it does glow in the dark              neon  phone  smartphone  cool  gadgets  colourparty  neonphone  iphone  https   t co ny4zzxwmzl"
"positive","snapshots from my  iphone a perfect view  me looking at you  my girl standing on a cliff maybe the scarborough bluf  https   t co vlfk5wcgc1"
"positive","youtube music  youtube music premium  and youtube premium launch in india  joining google play music and google pla  https   t co zbjfvlwups"
"neutral","procamera  review https   t co ehid7jwuas  iphone  iphoneography  photography  procamera"
"positive","unlike other  blind  iphone users  i m not wasting my time searching for  voiceover apps  i planned my mission long  https   t co w3efraphui"
"positive","qr codes  here s a handy tutorial on how to scan and act on qr codes with your iphone or android phone  it s remark  https   t co nkhhsln04y"
"positive","iphone 7 plus free for you  complete information on how to get it  please click the link in our bio  this is very c  https   t co vdm7cyufgf"
"negative","didn t know if you have custom dns resolver settings on  iphone  it conflicts with the app s connection at times  got it sorted now   "
"positive","cellphone cases anymore   love       iphonecase  thursdaythoughts  nationalburritoday  iphone  fashion  tech  music https   t co vdeshkm67g"
"positive","   techynology  computers and  accessories   visit here      https   t co ff1f968cmr   online  store of technology   https   t co ur2rgoshwo"
"positive","the latest the mitch english chronicle  https   t co uoaxeblf70 thanks to  laurenfix  reinacarbetta  jaydedonovan  iphone  apple"
"positive","8192 number puzzle challenge   ios source code   https   t co hmz4hrw00y via  codesterhq ball journey   ios source  https   t co soys5yyouo"
"neutral","waiting for this one     samsung  iphone  apple  plus  oppo  xiaomi  smartphone  huawei  s  photography  vivo  https   t co q4e1ula5z6"
"negative","playing around with this macro lens i got from  mumusoph  blurred because my hands were unsteady  but still pretty   https   t co 9ojv2tvkux"
"positive","apple arcade   apple event march 25  2019   https   t co 3tfaqhfahq   appleevent                 applearcade  https   t co 2gxtcobjgh"
"negative","a dope a   moment from  inside by  playdead  ios  iphone  pointoffire https   t co bzcusmk1wf"
"positive","  repairs   your loved  one on the spot     need a  fast  time  onthespot  damage  phone  screen  repair in  sydney  https   t co 73hmjs961f"
"positive","relax knowing  deal smurfs has you covered    subtle and classy webcam cover for any device   buy now at  https   t co xmcxlthxc0"
"neutral","ninjump app apes review  https   t co 2qjrfvmo4r  apple  ios  ipad  iphone  ninjump"
"neutral","i thought chickens had feathers      these babies are heavy in my rotation  i m a 1 0 kinda guy  what can i say   https   t co ajvrv79dna"
"neutral","rt  mjmasucci16   preorder  sweetestobsessions  boxset for your  iphone and get 16  freebooks  all for  99cents   https   t co 2brdqox7eu "
"negative","get the products you want today for a small weekly fee  tv s  washingmachines  cookers  beds  settees  ps4  iphone https   t co 0pc1haq434"
"neutral","report  86  of american teenagers will choose an iphone for as their next mobile phone  iphone  apple  https   t co cezpiooeec"
"positive","apple arcade   apple event march 25  2019   https   t co 3tfaqhfahq   appleevent                 applearcade  https   t co j2zmdqzl2t"
"positive","hey guys  video games in https   t co rpgttodmsn  shopping  price  money  car  coupon  tv  video  aws  prime  https   t co ibsqprkhxe"
"neutral","rt  hk3ton   wallpapers  iphone  gradient  lockscreen  apple  abstract  devices  homescreen  abstract  wallpapers for        iphonex        "
"neutral","guess the word   ios source code   https   t co iiixxjsl31 via  codesterhq  wordguessing   iphone  ipad  itunes  https   t co gasvjd3rvc"
"positive","apple iphone xr   the new generation of iphone   buy on our website today   https   t co ljv7uexlxr   iphone  xr  https   t co ugafyvw166"
"negative","apple event is on    https   t co ilptoxb1zh  lowest prices on apple products   iphones from  169  apple tvs  124   https   t co agix6t2plw"
"neutral","filmly is now on the app store  https   t co 3z90avdgu8  producthunt  app  newapp  ios  startup  iphone  producthunt https   t co xrk2v6wwif"
"negative","if you focus on the hurt  you will continue to suffer              founder  entrepreneur  life  qotd  ootd  fitfam  https   t co mopz8cr6dn"
"positive","rt  radim kacer  minimalist  wallpaper  original  hdwallpaper for  phone  another free  artwork from my  atelier https   t co tlvijnacoh  t "
"neutral","starlink discontinues toys and goes digital only  the toys to life genre continues to fade  with  disney infinity  https   t co 6muzin5kpe"
"positive","check the warranty status of your apple devices   apple  mac  iphone  ios  applecare https   t co aqkbdesev3"
"positive","rt  spaciecat   apple s new water cooled  iphone is amazing    https   t co epymegdnop"
"positive","hey guys  fashion in https   t co rpgttodmsn  shopping  price  money  coupon  tv  video  car  aws  prime  https   t co utcrkeyyxt"
"positive"," bible verse found with identity in christ daily by  roboticode for  android  iphone  kindle   dailyinspiration https   t co vx35ztv8lc"
"positive","rt  avancohear  the avanco hear   affordable bluetooth 5 0 hearing aid earbuds   google  earbuds  android  news  hearingloss  iphone  gadge "
"neutral"," rt  iphone  iphonexsmax  iphonexs  iphonexr  wallpaper  ios  homescreen  background  backgrounds   my electric wav  https   t co 4zak5zolgt"
"positive","rt  morcyrus   cutest  little  bunny  iphone case   cutestbunny  beautifuleyes  conejito  children see a great collection of t shirts  gree "
"positive","the latest digital adtech iq   https   t co czomjqowx1 thanks to  fouedm  architecture  iphone"
"positive","i have successfully integrated  ios  iphone into my long term  die hard  android life  my mission is to learn siri   https   t co qdwxgmiq5g"
"neutral","grumpy turtle  free now on  iphone  appstore  itunes  ipad  turtles  games  indiegame  game  indie   mobilegame  https   t co cjc6vxaknw"
"positive","hi  aashish kumar  many  thanks follow the  cloud  cloudunlock  cloudunlocker  apple  samsung  iphone  icloud https   t co 0xuqpzjsvv"
"positive","earn real rewards for trying new apps  download apps for points   amp  swap points for awesome prizes   https   t co cwqvtg46pd"
"negative","72  of 16 to 24 year olds say their mobile phone is the device they would miss the most if they had no battery   th  https   t co nyodhswyw8"
"neutral","nowplaying   jazz one   open vents  https   t co 6xyfg2isbo   iphone app https   t co csmu9adcyx   peripouwebradio"
"positive","no more having to manually scan through hundreds of photos to find that one shot of you and your best friend    her  https   t co 0ovnpjd42v"
"positive"," stapler  box  iphone  iphoneography  iphone8  procamera  phone  mobilephone   carterton  oxfordshire  united kingd  https   t co 99z4ix0ilo"
"positive","hos smart home for knx live edition is on the app store allowing everybody to monitor and control smart home using  https   t co k6xbjtuxvw"
"positive","waterproof liquid matte lipstick iksmarkets   things and more shop   https   t co db18q66btq tag  follow and share   https   t co t5jovxpm42"
"positive"," april 05  2019 at 09 01pm  apple  iphone  amp   samsung  unlock code 100  best price guarantee codes to your email unl  https   t co vn3uzpo3b4"
"positive","got a new case  review to follow                  apple  iphone  iphonexsmax  applewatch  smartbatterycase  https   t co e7wqwcbhxo"
"positive","rt  heapooh  foxconn ready to producing the iphone x xs in india https   t co pscjxvozqm  apple  iphone  iphonexr  iphonex  iphone7  iphone "
"positive"," giveaway   ios  snapfun pro   magic camera  99c to free  on https   t co aq4jvidvp3 get the paid app for  free  https   t co 9xszgjywng"
"positive"," apple  mickeymouse  beats      stylish  iphone  wireless  headphones at  applestore  topolino  cuffie  fashion   a  https   t co 6t4i7takws"
"positive"," apple  iphone xe with a 4 8  oled display could be coming  here s what it might look like  https   t co v56zfossxv  https   t co gmxshyjyvq"
"positive"," airunleashed claims to have achieved what apple couldn t  a wireless charging pad that can simultaneously power up  https   t co haxdqokths"
"positive","free on kindle https   t co hfasly6ehm  nook https   t co g34ojuexr4  iphone https   t co bqqc4uw2kf bk1 of  https   t co jjtmeuueh8"
"positive","dear  americans  it is not time to prepare for  easter celebrations  nor to sit in front of the tv  or buy a new  https   t co emiuzq2qis"
"positive","it s raining day and i play   me  myself  selfie  game  xboxone  man  guy  boy  teen  instaboy  instaguy  instaman  https   t co xa77ymqoui"
"negative"," get these apps before they get banned      iphone  apps  https   t co vufwnh3nzp https   t co a8igdjy7q4"
"positive","rt  1whirleddesign  chip says happy easter   chip the tooth cute imessage  stickers https   t co 1veyxiqch3      dentists  teeth  ios  indi "
"positive","rt  chomboli  heaven s gift   life  happy  view  blue  palm  beach  beachphotoshoot  santamonica  california  usa  travel  travelphotograph "
"positive"," eldermcdonald  but this  huaweip30pro feature is actually an old feature on  iphone"
"positive","rt  artfalaxy  terminus iphone skin by art falaxy  love the skin your tech is in    artfalaxy  art  phones  iphone  ipad  skins  cases  soc "
"positive"," iphone xr special padwa offer  now at just rs 59990   extra 5   off on hdfc credit cards offer ltd period  only at  https   t co mxnwjwtt0m"
"negative","jaytronixx lebron james calls nipsey hussle s death  one of the most unfortunate events that s happened in american  https   t co difi2em8j9"
"positive"," bible verse found with uplifting psalms daily by  roboticode for  android  iphone  kindle   dailyinspiration https   t co uiydjb86ty"
"neutral","iphone 6  screenreplacement  freytechnology  chambersburg  chambersburgpa  repair  repairshop  righttorepair  https   t co hsooqnpbrx"
"positive","another dimension   iphonography  iphone  london  m amp m  hipstamatic  square  shop  sweets   central london https   t co kj4en7lx1t"
"positive","the avanco hear   affordable bluetooth 5 0 hearing aid earbuds   google  earbuds  android  news  hearingloss  https   t co stuwaavvrt"
"positive","why i admire so much to apple     one of the reasons  they were among the first to introduce what we now know as a  https   t co jq9pvyu1uh"
"positive","new iphone     iphone  iphonexl https   t co jrpmtk4tr1"
"neutral","      shotoniphone  dallas  texas apple                                   downtown  photography  iphone  city  https   t co 2myx7pnfcu"
"positive","hey guys  videos in https   t co 2ij5ontciy  shopping  price  money  coupon  tv  video  aws  prime  primevideo  https   t co vfp8hha2gj"
"positive","a face is work of art  it deserves a frame          govisionusa  antiglareglasses  govision  beauty  lady  iphone  https   t co rviqgbnwcw"
"positive"," happy  kids happy  parents  https   t co njjsq9bhbr    word  games  children  app  appstore  ios  ipad  iphone  https   t co mc1b91y2wp"
"neutral"," adityajha04  xiaomiindia  technologyjock  technicalguruji  geekyranjit  c4eash switch to original  iphone"
"neutral","rt  aberglundartist  so many reflections in the spring            spring  water  countryside  country features  corn  iphone  goexplore  wa "
"positive","which iphone is your favorite  you can only choose one          source  https   t co zn2diw9bci           iphone  https   t co 1bt19vdtpf"
"positive","iphone 7 plus free for you  complete information on how to get it  please click the link in our bio  this is very c  https   t co k5zbxgcwv0"
"neutral"," wallpaper  iphone  iphonexsmax  iphonexr  wallpapers  wallpaperforrenjun  hd  hdwallpaper  abstract  absolutely  https   t co twxj20ftwd"
"positive","check out new  apple 10w  usb power adapter  iphone  ipad  with 14 apple stickers https   t co 9wlpjz5fit via  ebay"
"positive","thank you  huaweiindia  have been an  iphone user for quite a while  will stick to it  try changing my perception   https   t co bhkxrktmf5"
"positive"," iphone users  do you use any apps to block unknown callers  if yes  which one s the best "
"negative","with airpods for three years  but also the earplugs and charging boxes have been lost  i finally waited until the a  https   t co us6nx5yaki"
"positive"," applenews  also has a feature similar wallet app   apple cash  where the heading changes shades depending on the m  https   t co pxeeoagrn8"
"neutral","at least my  iphone keeps me company"
"positive","rt  salopsbfg  a hungry  bee in my garden with its tongue ready for action  aboutinsects  shrewsbury  iphone  photography  bumblebeetrust h "
"positive","monday  wallpaper of the day  enjoy             wallpaper  monday  for  apple  iphone  iphonexr  iphonexsmax  https   t co xiijmnvn1o"
"positive"," bible verse found with identity in christ daily by  roboticode for  android  iphone  kindle   dailyinspiration https   t co mmfjbndiyc"
"negative"," head over to the app store on your phone and download the hy vee app so you don t miss out on any of our amazing d  https   t co bvt6z1oz6l"
"positive","spring on lake superior         lakesuperior  duluth  parkpoint  spring  ice  driftwood  dunes  cloudyday  https   t co nmnnekj3mx"
"positive","rt  radim kacer  minimalist  wallpaper  original  hdwallpaper for  phone  free  download https   t co tlvijnacoh     screen  fashion  iphon "
"neutral","forgot your apple id or icloud password  6 ways to reset it  li  android  iphone  phone  phones  mobile  apple  https   t co qaadgzangs"
"positive","rt  pyestercom  https   t co olymn4c8je best selling phone charger charging stand for apple watch aluminum watch charging stand dock holder "
"positive","do you own an electronics company and are in need of promotional items  we can put your logo on thousands of unique  https   t co qgxf1dfgfr"
"positive","rt  jimnewmannyc  this isn t a filter  hhah my phone lens just needs cleaning i guess  but i m kind of vintage anyway heheh  iphone  lens   "
"neutral","nowplaying   bears in the attic   no matter  https   t co 6xyfg2isbo   iphone app https   t co csmu9adcyx   peripouwebradio"
"positive","beautiful day in dc   iphone https   t co rjcltqypgh"
"positive"," apple can t help   how a molecular biologist trained stay at home moms to recover lost  iphone photos   cbc news https   t co tzugo8q4lv"
"positive","rt  babyboypics  happy friday it s go time  have an awesome day                         newyork  newjersey  brooklyn  nyc  ny  apple  trave "
"neutral","rt  tigerheart3026  ptm p7 stereo bass earphone headphone with microphone wired gaming headset for phones samsung xiaomi iphone apple ear p "
"positive","new guest to the home                   iphonephotography  iphone  photography  photo  photooftheday  photobooth  https   t co eqtapf5otc"
"positive","best and worst time to eat apples    apples  apple  food  fruit  fruits  iphone  yummy  healthyfood  healthy  https   t co lbqhnjrtjj"
"positive","rt  nradioapp  vice featuring mike taylor   world is our playground   splash365   the internet s best variety        https   t co xi51mhwns "
"positive","rt  galleriaofart  cool phone cases online    apply any design to other brand cases   https   t co c3sc3zyaaj   iphone  apple  smartphones "
"negative","another ps5 leak  playstation 5 dev kit and controller revealed   the  gaming  community is desperately awaiting ne  https   t co wvmbth8z1k"
"neutral","anybody else iphone tweaking since that lil update   apple  iphone"
"positive","women s formal trousers   annabelle by pantaloons womens slim pants  slim fit with solid pattern all over perfect f  https   t co glw9p1hd5j"
"positive","ordinary world    greenday   ordinaryworld  greenday  video  guitarist  guitar  madrid  music  musician  https   t co paba65tv78"
"positive"," iphonexsmax  super  slowmotion  video  2k19 best phone  2k18  iphonexs   iphone https   t co 2cav6iifre https   t co w2ejcfhwuo"
"positive","rt  program spirit  10 key benefits of swift for ios app development  swift  ios  iosdev  swiftlang  iphone  objectivec  apple https   t co "
"positive","rt  leehillerdesign   pomegranate heart  love  valentine  mugs  iphone  speakers   more https   t co v9vasbq4mz https   t co xprh7f2zl1"
"neutral","t mobile rolling out android 9 0 pie for samsung galaxy note 8   iphone https   t co 8sdehpdk7l https   t co hsu4tmctz0"
"positive","the avanco hear   affordable hearing aid earbuds   google  earbuds  android  news  hearingloss  iphone  gadgets  https   t co bnsqsdiicz"
"positive"," bible verse found with identity in christ daily by  roboticode for  android  iphone  kindle   dailyinspiration https   t co vkbc1qgbea"
"negative","guess what am i   riddles trivia quiz  word guessing game for  iphone  amp   ipad  itunes  appstore  blogger  https   t co ownjrxwuoi"
"negative","smart cool hikone iphone repair shop at hikone city  shiga in japan  we can fix iphone issues  screen cracked batte  https   t co nrqf9uwnzj"
"neutral","health     iphone activity  thursday april 4 walking  running     steps distance  flights    climbed for erica n  f  https   t co cv0xcwwp9t"
"positive"," waterproof  bluetooth  smart  watch  phone mate for  iphone ios  android black gift  https   t co oel1mbopai price  https   t co vvxbusvquz"
"positive","rt  takeaphoto2011  nice to see you  again  cherprang bnk48official   special thx  voravat h  phoenixcz    bnk48  cherprangbnk48  snapshot "
"positive","f5 networks  which makes cloud and security application services  to acquire rival nginx  which powers some of the  https   t co aoofgb5fty"
"positive","rt  hos houseos  next generation bms technology hos  smarthome  automation for bacnet bms walkthrough setup tutorial for  appletv   iphone  "
"negative","rt  majoihart  shattered by majoih  artscase   https   t co rfkhxvk4ou   artscase  artscase eu  iphonexr  iphone  phonecase  phonecases htt "
"positive","rainy monday abu dhabi  take care you all and for those who are driving    rainydaysandmondays  rain  abudhabi  https   t co f3yxwxeecb"
"negative","jessa jones corrects  apple on data recovery and gets banned   iphone https   t co cbdwynsvb5"
"positive","rt  archeryapp1   new in latest release  skill calculation support for   nfaa indoor target face  104 6 top right on this screenshot   app "
"positive","good news for everyone in  nyc with an  iphone that takes  masstranit   it appears that  nyctsubway will soon be te  https   t co 0kvqj1wuvz"
"positive","the startup that secretly runs the internet just got acquired by one of its biggest rivals for  670 million  matt w  https   t co dy1n8iuljq"
"neutral","rt  ar72014   wallpapers  homescreen  lockscreen    nebula fusion blue   nebula fusion blue green   nebula fusion red    wallpaper for      "
"positive","rt  queenofsunflo   ichigo  kurosaki  rukia  kuchiki  anime for apple  iphone new users can get a us  4  coupons https   t co zgzjnumqka ht "
"positive","anunitum iphone case by art falaxy  love the skin your tech is in    artfalaxy  art  phones  iphone  ipad  skins  https   t co czwxqqqiek"
"neutral"," iphone xs   amazon quiztime https   t co euspyf8prf"
"neutral"," dougmaverick filmed on  iphone  cmon"
"positive","   taking someone on board with more skills to offer  is it a wise idea   appdevelopment  androidapp  ios12  https   t co twombcejuy"
"positive","bitfortip available on iphone  and ipad https   t co 2rcczo7mrj                                                     https   t co zpfara5m1o"
"positive","samsung galaxy buds   black  wireless  bluetooth  technology  tech  iphone  headphones  music  wifi  gadgets  https   t co o18zvxwap0"
"neutral","iphone neeeeeds an update where an incoming call doesn t take up the whole screen so you can do other things while  https   t co putey7zwqc"
"positive"," whatsapp business app now available on  iphone  https   t co iqdj6tlixj"
"neutral","hi  sanjula thx follow us  instantunlock  apple  samsung  iphone  unlock https   t co oehnr3rqmr  nfb https   t co mgmnowmzxw"
"negative","injustice   gods  among  us app apes review  https   t co 7xvjydwor8  apple  injustice  ios  ipad  iphone"
"positive","price drop   ee legacy  on sale for  iphone  ipad  14 99  gt  gt   13 99 https   t co fs2ut5xqcy https   t co wso89ouln7"
"positive","rt  ido jewelers  our  giveaway is here  to celebrate the launch of our online store  our  giveaway is here  we are giving away  apple  iph "
"positive","rt  artfalaxy  anunitum iphone case by art falaxy  love the skin your tech is in    artfalaxy  art  phones  iphone  ipad  skins  cases  soc "
"neutral"," iplaytv was  revoked on  ios  reinstall the app to watch live tv channels on your  iphone     iplaytv app https   t co ptewkn71vy"
"neutral","it s april 07  2019 at 07 01pm  submit your  apple  samsung  lg  zte  icloud  unlockcode  iphone https   t co sfe120bm7r"
"positive"," sideshotsaturday in front of apple   apple  iphone  iwatch  ipad             captivated imagery   jeep  jeeplife  https   t co xidiebzvlg"
"neutral","rt  ar72014  all  iphone  wallpapers pack by  ar72014  part  2   7  https   t co 2ixijq6pez 8  https   t co lpfynitypv 9  https   t co qmjm "
"positive","opula software   leading mobile app development company in surat offers android  iphone  ios and windows mobiles ap  https   t co m5mkotvxfl"
"positive","our  giveaway is here   to celebrate the launch of our online store  we are giving away  apple  iphone xs 64gb of v  https   t co 3l3s9wji6d"
"positive","snapchat announces snap games and snap originals programs  lens improvements   iphone https   t co dmxhghuzdp https   t co wz6v0jbpsw"
"positive","iphone 7 plus free for you  complete information on how to get it  please click the link in our bio  this is very c  https   t co xa9q5ngtcb"
"positive","ca dmv vehicle registration pay dmv fees   https   t co izgvi7kjrc free 2 day shipping have more time for  ktla spo  https   t co s7dhmrovjq"
"neutral","sixth video of 2019 just dropped    dbrand  grip  v2  2019  drop  test with  iphone  xs   https   t co vkkiwhf8fg"
"neutral","the iphone s camera used to be a selling point  https   t co 2glbi2ciot   iphone  camera  photography  https   t co qfvwbqwlnj"
"positive","rt  141 games  pizza jump  free now on  itunes  ios  iphone  pizza  appstore  games  indiegames  gamer  indiedev  screenshotsaturday  mobil "
"negative","here s why investors shouldn t be too worried about mackenzie bezos becoming one of amazon s largest individual sha  https   t co no8rafdhl3"
"positive","diamond iphone cases    its really cool and stylish  all variables available and you can choose your own color    f  https   t co pzrbhsm5qq"
"positive","feels good  show with dianne  stickers   fun  cute  blogger  iphone  ios10  text  imessage  imessagesticker  animals https   t co 1qv3gdmxsv"
"negative","women s sportswear   boston club women s sports t shirt for gym specifically designed to absorb moisture and dry qu  https   t co ozgej7skil"
"negative","puzzle pelago is out now on iphone  download here  https   t co nrl32yhbhb   a drag and drop economy   preview of t  https   t co keia8ggebw"
"positive"," hack  nerd  technology  life  iphone  techapick optical wireless mouse cool gadget https   t co ensaafrzgk"
"neutral","      concretejungle  arquitect   shotoniphone  dallas  texas apple                                    downtown  https   t co zgovlvvkw8"
"neutral","retweet if you want followers  fairytrain  tfbjp  teamfairyrose  iphone  follow  autofollow  tfr 22 10"
"neutral","my  shadow  selfie on  papyrus  background  20190404  iphone   outdoor  texture https   t co ti39xhqkix https   t co qvfcogwgsp"
"positive","deal of the day  iphone x screen protector  maxboost  clear  3 packs  iphone x tempered glass screen protectors  3d  https   t co ufmh2ye8t9"
"neutral","starting today   orange is offering the blackberry  key2le in champagne  grab the exclusive 64 gb dual sim version  https   t co lcemopfxen"
"positive","what are the prominent trends of  iphone app development in 2019  good read at  https   t co xtrij24et1  https   t co y2a6qwejae"
"negative","imagic trick on the  appstore https   t co vujmyshcfn  magic for the  iphone   ipad and  applewatch"
